"Name","ID","Level","Prep_Xanax","Prep_Overdose","War_Hits","Non_War_Hits","Hospital","Assists","War_Xanax","War_Overdose","Boosters","Cans","Refills","Activity","Respect","Respect_Lost","Score_Up","Score_Down","E_Wasted","E_Stolen"
"OneSixtyFive","227309",71,2,FALSE,13,0,9,0,0,0,0,0,0,0.734,55.33,11.99,55.33,44.32,75,25
"Fergy","312606",91,8,FALSE,106,66,1,2,4,0,8,0,2,10.54,1054.64,3.13,631.51,0,0,75
"WaterBoy61","625493",60,0,FALSE,6,0,10,0,0,0,0,0,0,0.466,17.03,16.16,17.03,59.56,0,75
"Chronic7","795535",94,7,TRUE,102,44,5,4,5,0,8,6,2,22.904,871.01,10.24,753.86,36.26,575,0
"DeathSaysSo","1610555",70,8,FALSE,40,66,13,2,4,0,2,3,1,5.386,266.19,23.25,153.72,90.01,150,0
"Ap3-5hizz","1678160",48,7,FALSE,32,58,31,3,3,0,0,13,2,3.283,260.36,39.76,182.79,151.23,150,75
"KillaPat","1690773",41,0,FALSE,4,22,20,0,1,0,0,0,1,0.477,47.49,26.88,8.32,104.1,25,100
"tino","1922360",40,5,FALSE,2,0,23,0,0,0,0,0,0,0.662,13.57,38.19,13.57,109.89,50,50
"HashHomie","2063017",73,2,FALSE,44,40,7,2,2,0,0,13,1,6.729,380.5,15.24,253.26,46,100,50
"Missmeow","2307408",40,7,FALSE,108,6,7,6,5,0,0,0,2,13.887,657.460000000001,6.97,641.580000000001,25.95,175,75
"RatTaco","2369960",50,4,FALSE,37,25,18,0,2,0,0,0,1,6.159,306.31,24.83,209.84,79.16,0,75
"TheArmadylo","2740738",63,3,FALSE,1,0,13,0,0,0,0,0,0,0.117,2.88,16.05,2.88,62.12,0,75
"PrettyGirl86875","2789477",69,7,FALSE,6,2,11,1,3,0,0,0,2,0.704,30.11,17.87,24.84,57.75,0,25
"Hol","2811818",25,1,FALSE,24,30,25,8,1,0,0,0,2,4.849,245.12,33.48,195.29,113.84,150,75
"RVENGE","2905162",50,6,FALSE,10,36,23,4,2,0,0,0,2,1.598,143.88,25.05,69.81,90.23,150,225
"WinstonXXX","2975024",31,0,FALSE,12,4,12,0,0,0,0,0,0,2.038,66.04,18.81,59.05,55.15,25,25
"Decules","3227739",30,6,FALSE,27,69,20,3,4,0,0,1,1,3.759,405.3,23.11,209.3,73.21,175,0
"Murphy4709","3320501",20,4,FALSE,1,0,25,0,1,0,5,0,1,0.67,6.48,28.81,6.48,81.97,50,50
"xentac","3354782",29,8,TRUE,57,7,5,3,2,0,10,0,2,12.823,349.76,5.56,334.36,20.48,50,0
"Wildflowers","3410726",25,7,FALSE,99,31,19,2,6,0,1,0,2,14.016,901.76,20.16,802.98,66.33,25,25
"X-P-E-R-T","3263165",29,5,FALSE,0,0,26,0,2,0,5,0,1,0.217,0,38.06,0,100.77,0,25
"B_Man","533153",31,0,FALSE,0,22,32,0,1,0,0,0,1,1.362,68.25,26.69,0,85.36,0,25
